不一定	不一定	bù yī dìng	ㄅㄨˋ ㄧ ㄉㄧㄥˋ		不一定bù yī dìngㄅㄨˋ ㄧ ㄉㄧㄥˋnot necessarily maybe
多云	多雲	duō yún	ㄉㄨㄛ ㄩㄣˊ		多云〔多雲〕duō yúnㄉㄨㄛ ㄩㄣˊcloudy (meteorology)
好	好	hǎo, hào	ㄏㄠˇ, ㄏㄠˋ		好hǎoㄏㄠˇgood well proper good to easy to very so (suffix indicating completion or readiness) (of two people) close on intimate terms好hàoㄏㄠˋto be fond of to have a tendency to to be prone to
找出	找出	zhǎo chū	ㄓㄠˇ ㄔㄨ		找出zhǎo chūㄓㄠˇ ㄔㄨto find to search out
会	會	huì, kuài	ㄏㄨㄟˋ, ㄎㄨㄞˋ		会〔會〕huìㄏㄨㄟˋcan to be possible to be able to will to be likely to to be sure to to assemble to meet to gather to see union group association CL:個|个[ge4] a moment (Taiwan pr. for this sense is [hui3])会〔會〕kuàiㄎㄨㄞˋto balance an account accountancy accounting
那	那	Nā, Nuó, nǎ, nà, nuó	ㄋㄚ, ㄋㄨㄛˊ, ㄋㄚˇ, ㄋㄚˋ		那Nāㄋㄚsurname Na那Nuóㄋㄨㄛˊsurname Nuo那nǎㄋㄚˇvariant of 哪[na3]那nàㄋㄚˋthat those then (in that case) commonly pr. [nei4] before a classifier, esp. in Beijing那nuóㄋㄨㄛˊ(archaic) many beautiful how old variant of 挪[nuo2]
对	對	duì	ㄉㄨㄟˋ		对〔對〕duìㄉㄨㄟˋright correct couple pair towards at for to face opposite to treat (sb a certain way) to match together to adjust to fit to suit to answer to reply classifier: couple
有点儿	有點兒	yǒu diǎnr	ㄧㄡˇ ㄉㄧㄢˇ ㄦ˙		有点儿〔有點兒〕yǒu diǎnrㄧㄡˇ ㄉㄧㄢˇ ㄦ˙slightly a little somewhat
啊	啊	a	ㄚ˙		啊〔啊〕aㄚ˙
让	讓	ràng	ㄖㄤˋ		让〔讓〕ràngㄖㄤˋto yield to permit to let sb do sth to have sb do sth to make sb (feel sad etc) by (indicates the agent in a passive clause, like 被[bei4])
过	過	Guò, guò, guo	ㄍㄨㄛˋ, ㄍㄨㄛ˙		过〔過〕Guòㄍㄨㄛˋsurname Guo过〔過〕guòㄍㄨㄛˋto cross to go over to pass (time) to celebrate (a holiday) to live to get along excessively too-过〔過〕guoㄍㄨㄛ˙(experienced action marker)
得	得	dé, de, děi	ㄉㄜˊ, ㄉㄜ˙, ㄉㄟˇ		得déㄉㄜˊto obtain to get to gain to catch (a disease) proper suitable proud contented to allow to permit ready finished得deㄉㄜ˙structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc得děiㄉㄟˇto have to must ought to to need to
