hanzi;mean;lession;part
细节;;01;
电台;;01;
恩爱;;01;
对比;;01;
入围;;01;
评委;;01;
如何;;01;
瘫痪;;01;
离婚;;01;
自杀;;01;
抱怨;;01;
爱护;;01;
婚姻;;01;
吵架;;01;
相敬如宾;;01;
暗暗;;01;
轮;;01;
不耐烦;;01;
靠;;01;
肩膀;;01;
喊;;01;
伸;;01;
手指;;01;
歪歪扭扭;;01;
递;;01;
脑袋;;01;
女士;;01;
叙述;;01;
居然;;01;
催;;01;
等待;;01;
蚊子;;01;
半夜;;01;
叮;;01;
老婆;;01;
吵;;01;
项;;01;
脑袋;;01;
脖子;;01;
肩膀;;01;
胸;;01;
腰;;01;
后背;;01;
手指;;01;
眉毛;;01;
嗓子;;01;
牙齿;;01;
患难与共;;01;
串;;02;
一辈子;;02;
农村;;02;
屋（子）;;02;
断;;02;
以来;;02;
姥姥;;02;
舅舅;;02;
姑姑;;02;
坚决;;02;
打工;;02;
挣;;02;
县;;02;
套;;02;
装修;;02;
不得了;;02;
醉;;02;
强烈;;02;
夜;;02;
锁;;02;
临;;02;
悄悄;;02;
晒;;02;
被子;;02;
长途;;02;
冻;;02;
想象;;02;
灰尘;;02;
亮;;02;
微笑;;02;
温暖;;02;
立刻;;02;
扑;;02;
卧室;;02;
铺;;02;
飘;;02;
阵;;02;
感受;;02;
流泪;;02;
外公;;02;
姥姥;;02;
老婆;;02;
太太;;02;
兄弟;;02;
小气;;02;
周到;;02;
坦率;;02;
人生;;03;
工人;;03;
稳定;;03;
待遇;;03;
发愁;;03;
平静;;03;
帆船;;03;
撞;;03;
艘;;03;
航行;;03;
积蓄;;03;
二手;;03;
彩虹;;03;
包括;;03;
疯;;03;
辞职;;03;
驾驶;;03;
轮流;;03;
钓;;03;
顿;;03;
海鲜;;03;
傍晚;;03;
舒适;;03;
干活儿;;03;
盼望;;03;
陆地;;03;
各自;;03;
勿;;03;
时刻;;03;
着火;;03;
漏;;03;
雷;;03;
随时;;03;
闪电;;03;
击;;03;
拥抱;;03;
海里;;03;
台阶;;03;
未来;;03;
太太;;03;
时代;;03;
翟峰;;03;
澳大利亚;;03;
新西兰;;03;
预报;;03;
彩虹;;03;
雷;;03;
闪电;;03;
雾;;03;
零件;;03;
手工;;03;
维修;;03;
机器;;03;
产品;;03;
设施;;03;
设备;;03;
工具;;03;
阴;;03;
雨后彩虹;;03;
晴;;03;
雷阵雨;;03;
多云;;03;
雨转晴;;03;
国王;;04;
王子;;04;
公主;;04;
总理;;04;
总统;;04;
主席;;04;
总裁;;04;
主任;;04;
老板;;04;
领导;;04;
背;;04;
从前;;04;
时期;;04;
流传;;04;
至今;;04;
孝敬;;04;
农民;;04;
战争;;04;
满足;;04;
惭愧;;04;
决心;;04;
委屈;;04;
打听;;04;
主人;;04;
结实;;04;
勤奋;;04;
银(子);;04;
老实;;04;
镇;;04;
后背;;04;
滑;;04;
甩;;04;
顶;;04;
扶;;04;
不行;;04;
团员;;04;
去世;;04;
国军;;04;
本领;;04;
人才;;04;
管;;04;
物质;;04;
反而;;04;
诚恳;;04;
成就;;04;
古代;;04;
孝顺;;04;
美德;;04;
占;;04;
食物;;04;
子路;;04;
春秋;;04;
孔子;;04;
楚国;;04;
悠久;;05;
文字;;05;
记载;;05;
形状;;05;
描写;;05;
赞美;;05;
诗;;05;
老百姓;;05;
充满;;05;
感激;;05;
从而;;05;
产生;;05;
传说;;05;
善良;;05;
救;;05;
晕;;05;
龙;;05;
治（疗）;;05;
玉;;05;
壶;;05;
抢;;05;
埋;;05;
（躲）藏;;05;
如今;;05;
分布;;05;
天然;;05;
优美;;05;
独特;;05;
反映;;05;
珍珠;;05;
形成;;05;
于;;05;
广大;;05;
岩石;;05;
亿;;05;
石灰岩;;05;
地区;;05;
表面;;05;
角度;;05;
斜;;05;
为;;05;
火成岩;;05;
碰;;05;
挡;;05;
地势;;05;
冲;;05;
济南;;05;
鲍全;;05;
东海龙王;;05;
趵突泉;;05;
舜;;05;
作品;;05;
诗;;05;
传说;;05;
神话;;05;
戏剧;;05;
风格;;05;
形象;;05;
魅力;;05;
生动;;05;
搭配;;05;
干旱;;05;
政府;;05;
宝贵;;05;
滴;;05;
预付;;05;
渔夫;;05;
鱼肉;;05;
